tissue_ontology_term_id	count
UBERON:0000178	10788372
UBERON:0000310	5524283
UBERON:0002048	4826671
UBERON:0000956	3958070
UBERON:0009834	3031768
UBERON:0002771	2922898
UBERON:0001893	2182619
UBERON:0013682	2086252
UBERON:0002037	2062663
UBERON:8440012	1569927
UBERON:0002107	1372902
UBERON:0002084	1349023
UBERON:0002113	1238163
UBERON:0002421	1177370
UBERON:0008946	1080100
UBERON:0010225	1029960
UBERON:0002370	967020
UBERON:0002371	813373
UBERON:0002106	751041
UBERON:0000955	749393
UBERON:0001891	747915
UBERON:0001870	730928
UBERON:0001005	723671
UBERON:0002080	698008
UBERON:0002094	645583
UBERON:0002116	619947
UBERON:0000988	612504
UBERON:0002436	593724
UBERON:0001225	576367
UBERON:0001965	572156
UBERON:0000991	570488
UBERON:0001786	566514
UBERON:0002369	547539
UBERON:0002097	506748
UBERON:0000053	500628
UBERON:0001117	442506
UBERON:0001898	403413
UBERON:0000029	398780
UBERON:0000966	386220
UBERON:0008933	377097
UBERON:0002098	353385
UBERON:0001384	352909
UBERON:0001161	343207
UBERON:0001987	318376
UBERON:0034751	284811
UBERON:0009835	278341
UBERON:0000004	271577
UBERON:0005290	256461
UBERON:0002822	245169
UBERON:0001155	230659
UBERON:0002686	221504
UBERON:0002079	219093
UBERON:0000451	218183
UBERON:0000362	208169
UBERON:0002728	203735
UBERON:0001707	198868
UBERON:0002108	193714
UBERON:0002190	191909
UBERON:8410025	191641
UBERON:0016540	187526
UBERON:0000175	179134
UBERON:0000328	174738
UBERON:0001040	169725
UBERON:0002450	166019
UBERON:0010414	159861
UBERON:0000453	154391
UBERON:0002811	142895
UBERON:0000948	137624
UBERON:0001238	136995
UBERON:0001890	132056
UBERON:0016538	130822
UBERON:0002078	127638
UBERON:0001295	125786
UBERON:0007644	125042
UBERON:0000006	122127
UBERON:0003126	115300
UBERON:0002661	112488
UBERON:0002810	109363
UBERON:0001003	108559
UBERON:0002114	107098
UBERON:0001828	105918
UBERON:0001871	105048
UBERON:0002509	102554
UBERON:0002067	101977
UBERON:0008953	101311
UBERON:0002185	98156
UBERON:0016530	94443
UBERON:0002372	89046
UBERON:0001976	87947
UBERON:0002808	87919
UBERON:0000160	87883
UBERON:0001264	87543
UBERON:0000059	86378
UBERON:0016525	83790
UBERON:0018707	82797
UBERON:0002367	82620
UBERON:0000970	82612
