cell_type_ontology_term_id	count
CL:0000150	17256
CL:0000067	17179
CL:0001076	16978
CL:0000819	16956
CL:0000094	16827
CL:0002365	16740
CL:0002241	16633
CL:0011108	16487
CL:0000910	16464
CL:2000064	16207
CL:0002303	16195
CL:0000800	16149
CL:1000500	16102
CL:0009099	16021
CL:0002325	15973
CL:0000764	15921
CL:1000414	15819
CL:0002573	15760
CL:0000985	15658
CL:0000586	15525
CL:0000210	15407
CL:0000076	15294
CL:0000632	15167
CL:0000653	14736
CL:1000271	14580
CL:0008011	14493
CL:0001043	14331
CL:2000059	14230
CL:0000138	13957
CL:0000917	13863
CL:0000049	13836
CL:0002071	13814
CL:0009116	13702
CL:0000164	13682
CL:0000453	13514
CL:0009095	13271
CL:0002102	13021
CL:2000002	12959
CL:0000988	12933
CL:0000836	12682
CL:0011031	12490
CL:1001428	12453
CL:0000766	12253
CL:0000827	12182
CL:1000695	11880
CL:0002193	11880
CL:0002350	11688
CL:0000838	11685
CL:0002586	11648
CL:0000931	11568
CL:0000209	11520
CL:2000042	11513
CL:1001602	11359
CL:0010012	11279
CL:0000844	11036
CL:0000936	10719
CL:0000752	10510
CL:2000092	10424
CL:4033005	10360
CL:0002355	10206
CL:4030023	10170
CL:0000145	10159
CL:1000452	10155
CL:1000309	9956
CL:2000054	9829
CL:0002617	9780
CL:0000903	9762
CL:0000155	9718
CL:1000042	9696
CL:0000031	9587
CL:0000163	9522
CL:0000051	9458
CL:0002538	9424
CL:2000095	9056
CL:0000131	8898
CL:1000909	8870
CL:0005022	8847
CL:1000487	8702
CL:0001058	8625
CL:0000681	8623
CL:0002393	8409
CL:0000132	8394
CL:0002329	8145
CL:4033039	7754
CL:0000670	7712
CL:1000304	7654
CL:0000811	7624
CL:4023072	7437
CL:0002258	7302
CL:0002236	7295
CL:1000334	7040
CL:0019021	6579
CL:0004218	6534
CL:0002154	6528
CL:0000068	6513
CL:0002304	6327
CL:4023029	6172
CL:0002223	6160
CL:2000032	6144
CL:0011027	5913
CL:0005010	5875
CL:0000792	5855
CL:0009043	5787
CL:0000178	5666
CL:0002496	5663
CL:0000899	5583
CL:1001433	5568
CL:0002204	5484
CL:0005006	5455
CL:0000598	5454
CL:0000322	5440
CL:0002362	5391
CL:4023026	5385
CL:0000807	5364
CL:0000986	5277
CL:0002224	5276
CL:0011025	5261
CL:0000914	5258
CL:0000510	5256
CL:1000398	5212
CL:0008001	5175
CL:0003050	5161
CL:0011024	5147
CL:0000183	5078
CL:0000092	4933
CL:0000024	4890
CL:0011012	4821
CL:0011103	4744
CL:0005011	4741
CL:4023042	4706
CL:0005009	4698
CL:0002231	4587
CL:0000173	4519
CL:0000908	4479
CL:0001056	4470
CL:0000190	4411
CL:0002117	4345
CL:0000782	4288
CL:0002368	4269
CL:0000982	4242
CL:0000508	4239
CL:0019001	4216
CL:4023050	4206
CL:0000165	4202
CL:4033019	4200
CL:0000503	4079
CL:4023189	4051
CL:0000319	4007
CL:4033013	3986
CL:4030063	3978
CL:0000313	3976
CL:1000488	3968
CL:0000577	3945
CL:0002088	3934
CL:1000312	3927
CL:4023161	3847
CL:0000062	3842
CL:1000497	3836
CL:4033048	3836
CL:4033038	3718
CL:0009112	3663
CL:0002677	3578
CL:0002591	3578
CL:0000984	3562
CL:0000545	3538
CL:0002268	3532
CL:0009009	3406
CL:0002410	3342
CL:0001029	3284
CL:2000046	3214
CL:0009039	3156
CL:1000305	3106
CL:0000776	3032
CL:1000299	3027
CL:0002607	2969
CL:0000894	2955
CL:0000514	2938
CL:2000047	2849
CL:0000402	2839
CL:1000458	2760
CL:0000100	2756
CL:0000767	2702
CL:0000287	2673
CL:0000253	2602
CL:0000006	2502
CL:0017000	2494
CL:0000189	2435
CL:0001078	2424
CL:0002250	2374
CL:4033024	2368
CL:0000677	2367
CL:0000432	2307
CL:0002370	2286
CL:0000187	2281
CL:0001024	2238
CL:0007011	2237
CL:0002243	2221
CL:0001069	2218
CL:0002657	2216
CL:0019003	2158
CL:0002521	2152
CL:1000143	2149
CL:0011005	2084
CL:0002151	2079
CL:0002585	2062
CL:0008015	2056
CL:0000979	2048
CL:1000343	2024
CL:0009016	1995
CL:0009012	1963
CL:0009002	1884
CL:0000839	1878
CL:0002188	1866
CL:0002394	1835
CL:0019032	1809
CL:0002363	1785
CL:1000320	1766
CL:0000095	1728
CL:0009017	1723
CL:0000397	1715
CL:0002225	1677
CL:0000547	1627
CL:0000802	1620
CL:0000101	1605
CL:0011019	1595
CL:2000055	1543
CL:0002425	1538
CL:0000103	1499
CL:0002201	1477
CL:0000185	1466
CL:2000016	1455
CL:0002488	1450
CL:4023059	1424
CL:0000667	1421
CL:0001049	1410
CL:1001131	1397
CL:0002495	1391
CL:1001516	1346
CL:0019018	1290
CL:0000162	1283
CL:0002598	1282
CL:0002470	1249
CL:0002279	1245
CL:4023043	1215
CL:0002678	1212
CL:0009111	1197
CL:1000279	1197
CL:1000428	1187
CL:4030067	1186
CL:0000945	1170
CL:1000597	1169
CL:1000223	1161
CL:0000242	1159
CL:0000682	1142
CL:4023033	1124
CL:0000821	1110
CL:0002338	1108
CL:0011004	1101
CL:0000956	1084
CL:0004219	1070
CL:0000796	1063
CL:0000531	1030
CL:1000892	1008
CL:0002067	998
CL:4030011	989
CL:1000495	988
CL:0000553	966
CL:0002293	942
CL:0002075	916
CL:1001285	912
CL:1001033	851
CL:0009113	831
CL:4033026	822
CL:4033042	820
CL:1000342	809
CL:4030009	777
CL:0001077	776
CL:0001066	773
CL:0000696	761
CL:0005025	756
CL:1000447	754
CL:0002320	747
CL:2000041	742
CL:0001080	739
CL:0007010	736
CL:0000023	723
CL:0000388	702
CL:0002010	698
CL:0002328	693
CL:0002622	691
CL:4033043	670
CL:1000450	651
CL:0009022	640
CL:0000015	621
CL:0001079	611
CL:0002028	611
CL:0000558	605
CL:0000879	603
CL:0002366	597
CL:1001474	593
CL:0002262	592
CL:0002149	582
CL:0011115	567
CL:0000820	558
CL:0001074	555
CL:4023032	549
CL:1001225	545
CL:0000030	540
CL:0009041	524
CL:1000311	523
CL:1001016	508
CL:1000494	495
CL:4023083	490
CL:4030026	477
CL:0000317	449
CL:0000362	446
CL:0000771	432
CL:0002275	432
CL:0000695	411
CL:0000036	411
CL:0005021	410
CL:0000442	398
CL:0002375	384
CL:4033015	373
CL:0011101	366
CL:0002626	356
CL:0000790	341
CL:0002254	339
CL:0002351	336
CL:0000135	335
CL:0000569	317
CL:0002255	312
CL:0002422	304
CL:1000448	301
CL:0002189	281
CL:0009038	268
CL:1000275	255
CL:0000680	254
CL:0000842	242
CL:1001005	235
CL:2000021	233
CL:4023054	232
CL:1000326	230
CL:0002277	227
CL:0000502	226
CL:0002376	224
CL:0005019	204
CL:0000595	202
CL:0009042	199
CL:0000834	189
CL:0002673	180
CL:1000698	174
CL:0001057	171
CL:0000114	162
CL:0000823	158
CL:1000436	156
CL:0000922	147
CL:4033044	142
CL:0000459	138
CL:0000731	135
CL:0009005	135
CL:1001589	132
CL:2000001	131
CL:0000075	129
CL:1000330	123
CL:4030018	107
CL:4023121	100
CL:0000808	96
CL:0001081	93
CL:0009006	90
CL:0002278	83
CL:0000055	82
CL:0000001	80
CL:0002092	72
CL:0002377	66
CL:0002207	61
CL:0000546	55
CL:0002157	54
CL:1000278	54
CL:0000841	51
CL:1000703	48
CL:0002457	48
CL:1000331	45
CL:0002280	44
CL:0000708	40
CL:0000937	39
CL:0002322	34
CL:0002009	31
CL:1000491	29
CL:0000056	29
CL:0000019	22
CL:0000218	22
CL:1000353	19
CL:0008024	8
