cell_type_ontology_term_id	count
CL:0000540	8112995
CL:4023040	3692924
CL:0000128	2837361
CL:0000679	1957345
CL:0000624	1617158
unknown	1571014
CL:0000057	1558625
CL:0000235	1556982
CL:0000625	1505179
CL:0000860	1423450
CL:0000623	1333257
CL:0000236	1145436
CL:0000127	1131864
CL:0000604	1013854
CL:0000895	956401
CL:0001064	850826
CL:0000115	835868
CL:0002555	833781
CL:0000904	782999
CL:0000746	746616
CL:4033057	735351
CL:0000583	726598
CL:0000084	645633
CL:0002453	625785
CL:0001054	589521
CL:0000129	587981
CL:4023018	561072
CL:0002319	552465
CL:4023016	539534
CL:0000617	537813
CL:4033058	530085
CL:0000576	514649
CL:0000499	497653
CL:0000066	494679
CL:4030027	493316
CL:0002063	480024
CL:4023017	478965
CL:0008034	457486
CL:0000788	450104
CL:0000121	438663
CL:0000646	419368
CL:0002144	415415
CL:0002097	410019
CL:0002543	409521
CL:0000786	398429
CL:0000232	397859
CL:0002131	393506
CL:4033054	384122
CL:0000913	381014
CL:0002306	380360
CL:0000900	375929
CL:0000669	365141
CL:4023011	362110
CL:0002605	348539
CL:0002548	337813
CL:0000939	327576
CL:0002324	310085
CL:0002326	307826
CL:0000763	305234
CL:0000909	298600
CL:0000809	296392
CL:0000815	277932
CL:0000878	275875
CL:0000787	271869
CL:0000584	268815
CL:0008019	263329
CL:0002057	261782
CL:0000791	260726
CL:0000636	251729
CL:1001106	243151
CL:0000875	236609
CL:0000561	230532
CL:0000748	211571
CL:0002633	201579
CL:0000492	200891
CL:0002489	196983
CL:0000498	196825
CL:4030028	193548
CL:4033033	190135
CL:0000071	187951
CL:4023188	185398
CL:0000151	184490
CL:0000451	182243
CL:1000413	176781
CL:0002138	174269
CL:0000798	173160
CL:0000814	170110
CL:4023013	169394
CL:0002139	165750
CL:0000751	158776
CL:0000359	158679
CL:0000097	157993
CL:0002419	156203
CL:0002145	148299
CL:0019026	146963
CL:0000775	143486
CL:0002632	142285
CL:0000897	138766
CL:0002341	138418
CL:0002620	132888
CL:0000192	132349
CL:0000704	130451
CL:0000186	129804
CL:0000794	127234
CL:0000990	126688
CL:0000905	126062
CL:2000060	123754
CL:0000158	120784
CL:0000940	120705
CL:4023038	120422
CL:0000120	120344
CL:4023012	118877
CL:4023015	118772
CL:0002399	118710
CL:0000077	118471
CL:0000861	116551
CL:0000125	116154
CL:1001431	114684
CL:0000501	112918
CL:0002480	110999
CL:4033034	109921
CL:0011026	106790
CL:0000312	105814
CL:0002334	104964
CL:0000573	102253
CL:0002327	101696
CL:0001050	99630
CL:0000542	98682
CL:4033028	96248
CL:0002179	94899
CL:0000034	92705
CL:0002396	87379
CL:0000222	84215
CL:0000525	83244
CL:0002062	83126
CL:0009010	83080
CL:0000134	82465
CL:0002553	82224
CL:0000136	81378
CL:0005012	80614
CL:0000123	79325
CL:0000784	78207
CL:0000160	77433
CL:0000556	77387
CL:0000082	76407
CL:0001031	75835
CL:0000122	75294
CL:0002129	73489
CL:0000893	73449
CL:0000216	73268
CL:0005026	72848
CL:0010011	72449
CL:0000740	71316
CL:0000233	71228
CL:0002563	70542
CL:4033027	70506
CL:1000329	69952
CL:0000987	69873
CL:0000182	69666
CL:1001432	68761
CL:4023036	68674
CL:0019029	68081
CL:0001063	66416
CL:0000513	66335
CL:0000765	65894
CL:0000555	65674
CL:0000064	65478
CL:0002038	64783
CL:0001065	63874
CL:0000212	63161
CL:4033031	62557
CL:0000938	62289
CL:0000980	60979
CL:0000738	60331
CL:1000849	59551
CL:0000079	56967
CL:0002252	56720
CL:0000749	56680
CL:0000650	55774
CL:0011020	54542
CL:0000081	54172
CL:0000934	54059
CL:0000907	54050
CL:0000126	53713
CL:1000692	53572
CL:0000822	53076
CL:3000001	52282
CL:0000912	51277
CL:4033030	50484
CL:0002094	49910
CL:4023070	48910
CL:0000826	48673
CL:0000789	48664
CL:0013000	48079
CL:0000750	46934
CL:0001061	46887
CL:0000817	46412
CL:0000706	45809
CL:0010008	44999
CL:0000818	44849
CL:1000768	44402
CL:0000113	44290
CL:0002132	43510
CL:4028004	43510
CL:1000347	43157
CL:0001044	42761
CL:0002504	41600
CL:4030059	41418
CL:0000559	40676
CL:1001111	40661
CL:0002064	40037
CL:1001603	39441
CL:0000906	39428
CL:0000091	38786
CL:0000148	38784
CL:0000037	38392
CL:4028006	38250
CL:0002343	37559
CL:0001062	37111
CL:0019028	36430
CL:4033035	36430
CL:0001203	36334
CL:0000169	36268
CL:0000171	35696
CL:0008036	35282
CL:0002187	33726
CL:0000785	33542
CL:0000813	33169
CL:1001568	33142
CL:0000575	33028
CL:1000348	32681
CL:0000957	32496
CL:0002046	32221
CL:0004232	32048
CL:0000050	31512
CL:4023041	30846
CL:0002518	30699
CL:0002623	30441
CL:0000972	30352
CL:4033032	30278
CL:0000630	30009
CL:0000644	29498
CL:0002340	29128
CL:0001082	28875
CL:0000837	28567
CL:0010003	28528
CL:0001071	27775
CL:0000745	27534
CL:4033036	27399
CL:0019019	27054
CL:0000529	27000
CL:0000651	26945
CL:0000898	26748
CL:0000649	26321
CL:0000954	26273
CL:0000166	26199
CL:0002079	25929
CL:0000915	25731
CL:0000038	25671
CL:0002627	25411
CL:0000890	25119
CL:0002397	25107
CL:0000065	25020
CL:0004217	24960
CL:0009092	24836
CL:0000863	24590
CL:0019022	24463
CL:1000272	24059
CL:0000896	24044
CL:1001107	24013
CL:2000093	23711
CL:0019031	23655
CL:1000296	23634
CL:1000449	23259
CL:0002601	23192
CL:0000816	22964
CL:0002503	22785
CL:4033029	22429
CL:0000700	22048
CL:0000810	22022
CL:0000921	21701
CL:1000443	21468
CL:0000557	21404
CL:0008002	21175
CL:0002045	21060
CL:0000188	21000
CL:0000622	20980
CL:2000006	20505
CL:0008031	20470
CL:0009011	20108
CL:4006000	20106
CL:0002048	19924
CL:0000594	19684
CL:4023051	19609
CL:0002629	19467
CL:0009089	19146
CL:1000432	19058
CL:0000843	19039
CL:0002364	18812
CL:1001318	18664
CL:0000970	18653
CL:0000099	18381
CL:0001042	18379
CL:0010022	17585
