assay_ontology_term_id	count
EFO:0009922	39417146
EFO:0009899	14881616
EFO:0011025	6453252
EFO:0010550	5064268
EFO:0009900	3381738
EFO:0030004	1282251
EFO:0030003	819131
EFO:0022490	685024
EFO:0030002	642559
EFO:0008722	336562
EFO:0008919	206754
EFO:0008931	190792
EFO:0700003	177276
EFO:0700010	133507
EFO:0009901	132189
EFO:0700011	117962
EFO:0700004	96145
EFO:0008796	70146
EFO:0009919	69174
EFO:0700016	63920
EFO:0008780	51304
EFO:0030019	33038
EFO:0008953	9386
EFO:0010010	7370
