cell_type	count
CD8-positive, alpha-beta memory T cell, CD45RO-positive	36334
type B pancreatic cell	36268
pancreatic A cell	35696
extravillous trophoblast	35282
basal cell of epidermis	33726
mature B cell	33542
memory T cell	33169
pulmonary artery endothelial cell	33142
corneal epithelial cell	33028
basal cell of epithelium of trachea	32681
large pre-B-II cell	32496
early pro-B cell	32221
starburst amacrine cell	32048
megakaryocyte-erythroid progenitor cell	31512
L5 extratelencephalic projecting glutamatergic cortical neuron	30846
kidney epithelial cell	30699
acinar cell of salivary gland	30441
class switched memory B cell	30352
diffuse bipolar 6 cell	30278
supporting cell	30009
Bergmann glial cell	29498
luminal cell of prostate epithelium	29128
immature innate lymphoid cell	28875
hematopoietic multipotent progenitor cell	28567
epithelial cell of alveolus of lung	28528
group 3 innate lymphoid cell	27775
retina horizontal cell	27534
OFFx cell	27399
tracheobronchial smooth muscle cell	27054
pigmented epithelial cell	27000
mucous neck cell	26945
naive T cell	26748
prickle cell	26321
small pre-B-II cell	26273
chromaffin cell	26199
pancreatic ductal cell	25929
CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell	25731
erythroid progenitor cell	25671
mature astrocyte	25411
alternatively activated macrophage	25119
CD14-positive, CD16-positive monocyte	25107
ependymal cell	25020
H1 horizontal cell	24960
endothelial cell of placenta	24836
inflammatory macrophage	24590
endothelial cell of pericentral hepatic sinusoid	24463
lung secretory cell	24059
activated CD4-positive, alpha-beta T cell	24044
kidney loop of Henle thin ascending limb epithelial cell	24013
bronchus fibroblast of lung	23711
intestine goblet cell	23655
epithelial cell of urethra	23634
epithelial cell of nephron	23259
uterine smooth muscle cell	23192
immature B cell	22964
adventitial cell	22785
diffuse bipolar 3a cell	22429
dopaminergic neuron	22048
CD4-positive, alpha-beta thymocyte	22022
type I NK T cell	21701
ciliary muscle cell	21468
granulocyte monocyte progenitor cell	21404
skeletal muscle fiber	21175
fraction A pre-pro B cell	21060
cell of skeletal muscle	21000
acinar cell	20980
tonsil germinal center B cell	20505
cortical interneuron	20470
transit amplifying cell of colon	20108
fibroblast of breast	20106
late pro-B cell	19924
skeletal muscle satellite cell	19684
vascular leptomeningeal cell	19609
mature microglial cell	19467
lung pericyte	19146
conjunctival epithelial cell	19058
follicular B cell	19039
cortical thymic epithelial cell	18812
renal interstitial pericyte	18664
unswitched memory B cell	18653
interneuron	18381
T-helper 22 cell	18379
cardiac neuron	17585
glandular epithelial cell	17256
ciliated epithelial cell	17179
NKp46-positive innate lymphoid cell, human	16978
B-1 B cell	16956
granulocyte	16827
medullary thymic epithelial cell	16740
pulmonary interstitial fibroblast	16633
colon epithelial cell	16487
cytotoxic T cell	16464
ovarian surface epithelial cell	16207
pigmented ciliary epithelial cell	16195
mature gamma-delta T cell	16149
kidney interstitial cell	16102
fibro/adipogenic progenitor cell	16021
lactocyte	15973
erythroid lineage cell	15921
endothelial cell of venule	15819
Schwann cell	15760
IgG plasma cell	15658
germ cell	15525
photoreceptor cell	15407
squamous epithelial cell	15294
hepatic stellate cell	15167
podocyte	14736
lung ciliated cell	14580
skeletal muscle satellite stem cell	14493
activated CD4-positive, alpha-beta T cell, human	14331
prostate gland microvascular endothelial cell	14230
chondrocyte	13957
Tc1 cell	13863
common myeloid progenitor	13836
enterocyte of epithelium of large intestine	13814
progenitor cell of mammary luminal epithelium	13702
enteroendocrine cell	13682
Langerhans cell	13514
endothelial cell of uterus	13271
CD38-negative naive B cell	13021
decidual cell	12959
hematopoietic cell	12933
promyelocyte	12682
monocyte-derived dendritic cell	12490
bladder urothelial cell	12453
myeloid leukocyte	12253
pro-T cell	12182
kidney interstitial alternatively activated macrophage	11880
myelocyte	11880
endocardial cell	11688
lymphoid lineage restricted progenitor cell	11685
retinal pigment epithelial cell	11648
activated type II NK T cell	11568
taste receptor cell	11520
embryonic fibroblast	11513
cerebral cortex endothelial cell	11359
cerebral cortex neuron	11279
germinal center B cell	11036
early lymphoid progenitor	10719
cone retinal bipolar cell	10510
hair follicular keratinocyte	10424
serous secreting cell of bronchus submucosal gland	10360
primitive red blood cell	10206
respiratory hillock cell	10170
professional antigen presenting cell	10159
parietal epithelial cell	10155
epicardial adipocyte	9956
hepatic pit cell	9829
adipocyte of breast	9780
natural T-regulatory cell	9762
peptic cell	9718
forebrain neuroblast	9696
neuroblast (sensu Vertebrata)	9587
endocrine cell	9522
common lymphoid progenitor	9458
intrahepatic cholangiocyte	9424
cord blood hematopoietic stem cell	9056
gut endothelial cell	8898
kidney loop of Henle epithelial cell	8870
vascular lymphangioblast	8847
smooth muscle cell of prostate	8702
plasmacytoid dendritic cell, human	8625
radial glial cell	8623
intermediate monocyte	8409
corneal endothelial cell	8394
basal epithelial cell of tracheobronchial tree	8145
lung resident memory CD8-positive, alpha-beta T cell	7754
primordial germ cell	7712
fibroblast of connective tissue of nonglandular part of prostate	7654
CD8-positive, alpha-beta thymocyte	7624
brain vascular cell	7437
thyroid follicular cell	7302
basal epithelial cell of prostatic duct	7295
enterocyte of epithelium of small intestine	7040
endothelial cell of periportal hepatic sinusoid	6579
H2 horizontal cell	6534
early promyelocyte	6528
duct epithelial cell	6513
non-pigmented ciliary epithelial cell	6327
indirect pathway medium spiny neuron	6172
anterior lens cell	6160
peripheral nervous system neuron	6144
skeletal muscle fibroblast	5913
renal intercalated cell	5875
CD4-positive, CD25-positive, alpha-beta regulatory T cell	5855
intestinal crypt stem cell of colon	5787
Leydig cell	5666
intraepithelial lymphocyte	5663
T-helper 17 cell	5583
epithelial cell of exocrine pancreas	5568
brush cell	5484
ionocyte	5455
pyramidal neuron	5454
pneumocyte	5440
cerebellar granule cell precursor	5391
direct pathway medium spiny neuron	5385
DN3 thymocyte	5364
IgM plasma cell	5277
lens epithelial cell	5276
exhausted T cell	5261
immature NK T cell	5258
paneth cell	5256
endothelial cell of hepatic sinusoid	5212
hematopoietic precursor cell	5175
S cone cell	5161
double negative T regulatory cell	5147
contractile cell	5078
osteoclast	4933
oogonial cell	4890
neural crest cell	4821
sympathetic neuron	4744
renal alpha-intercalated cell	4741
L6 corticothalamic-projecting glutamatergic cortical neuron	4706
renal principal cell	4698
epithelial cell of prostate	4587
pancreatic D cell	4519
CD8-positive, alpha-beta cytokine secreting effector T cell	4479
dendritic cell, human	4470
fast muscle cell	4411
IgG-negative class switched memory B cell	4345
myeloid dendritic cell	4288
respiratory epithelial cell	4269
IgG plasmablast	4242
type G enteroendocrine cell	4239
tracheobronchial serous cell	4216
L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	4206
neuroendocrine cell	4202
ON-blue cone bipolar cell	4200
theca cell	4079
parasol ganglion cell of retina	4051
mucus secreting cell	4007
suprabasal keratinocyte	3986
L4 intratelencephalic projecting glutamatergic neuron	3978
serous secreting cell	3976
cholangiocyte	3968
type EC enteroendocrine cell	3945
interstitial cell of Cajal	3934
bronchial goblet cell	3927
unipolar brush cell	3847
osteoblast	3842
respiratory suprabasal cell	3836
kidney cell	3836
lung resident memory CD4-positive, alpha-beta T cell	3718
centroblast	3663
naive regulatory T cell	3578
smooth muscle cell of the pulmonary artery	3578
IgA plasmablast	3562
T-helper 1 cell	3538
P/D1 enteroendocrine cell	3532
paneth cell of colon	3406
pancreatic stellate cell	3342
common dendritic progenitor	3284
ventricular cardiac muscle cell	3214
colon goblet cell	3156
fibroblast of connective tissue of glandular part of prostate	3106
immature neutrophil	3032
fibroblast of connective tissue of prostate	3027
migratory enteric neural crest cell	2969
DN1 thymic pro-T cell	2955
smooth muscle myoblast	2938
brainstem motor neuron	2849
CNS interneuron	2839
melanocyte of skin	2760
motor neuron	2756
basophil	2702
eye photoreceptor cell	2673
eurydendroid cell	2602
neuronal receptor cell	2502
pulmonary ionocyte	2494
slow muscle cell	2435
group 3 innate lymphoid cell, human	2424
intestinal crypt stem cell	2374
airway submucosal gland duct basal cell	2368
gut absorptive cell	2367
reticular cell	2307
respiratory goblet cell	2286
muscle cell	2281
CD34-positive, CD38-negative hematopoietic stem cell	2238
enteric neuron	2237
smooth muscle cell of sphincter of pupil	2221
group 2 innate lymphoid cell	2218
glandular cell of esophagus	2216
tracheobronchial goblet cell	2158
subcutaneous adipocyte	2152
lung goblet cell	2149
GABAergic interneuron	2084
late promyelocyte	2079
retinal blood vessel endothelial cell	2062
inhibitory motor neuron	2056
IgG memory B cell	2048
paneth cell of epithelium of small intestine	2024
intestinal crypt stem cell of large intestine	1995
transit amplifying cell of small intestine	1963
inflammatory cell	1884
myeloid lineage restricted progenitor cell	1878
