tissue_general_ontology_term_id	count
UBERON:0000955	26281059
UBERON:0000178	10835244
UBERON:0002048	6231233
UBERON:0000310	5555979
UBERON:0000970	4190842
UBERON:0000948	3629952
UBERON:0002113	2083054
UBERON:0002107	1815408
UBERON:0002108	1237182
UBERON:0002097	1045024
UBERON:0002368	979667
UBERON:0001004	944355
UBERON:0002371	813373
UBERON:0002106	751041
UBERON:0000029	717899
UBERON:0001155	714413
UBERON:0001987	638786
UBERON:0000990	570488
UBERON:0002369	560114
UBERON:0000004	470445
UBERON:0001013	468603
UBERON:0000945	446348
UBERON:0002367	348664
UBERON:0003889	250178
UBERON:0001264	250161
UBERON:0001043	215951
UBERON:0001007	211912
UBERON:0001015	189452
UBERON:0000059	180996
UBERON:0001087	179134
UBERON:0001040	169725
UBERON:0000922	165937
UBERON:0000995	148198
UBERON:0000344	131978
UBERON:0002240	117463
UBERON:0002365	115722
UBERON:0000160	104490
UBERON:0002405	89046
UBERON:0018707	82797
UBERON:0002049	63667
UBERON:0000992	53751
UBERON:0000030	45230
UBERON:0001723	45060
UBERON:0001017	31780
UBERON:0007650	29105
UBERON:0009472	19792
UBERON:0000977	19695
UBERON:0001434	14680
UBERON:0001836	14502
UBERON:0003688	14003
UBERON:0000473	13211
UBERON:8480009	10533
UBERON:0002110	9769
UBERON:0000403	3029
UBERON:0000056	2390
