Signatures,Genes
TMEscoreA_CIR,HLA-DPB1/UBD/LOC100509457/WARS/TAP1/HLA-DMA/TRIM22/PSAT1/CXCL10/SOCS3/CXCL9/PBK/CCL4/CCL5/BCL2A1/TRBC1/IDO1/NFE2L3/CCL3L3/DTL/MMP9/SLC2A3/ZNF367/RCC1/STIL/TRAC/HELLS/GZMB/RTEL1-TNFRSF6B/CXCL11/GBP5/CD2/CDCA2/CDT1/TNFAIP2/TYMP/MICB/SLC2A14/GZMK/CD8A/CENPH/MND1/BATF2/BRIP1/E2F7/KIF18A/AIM2/ETV7/ITK/GNLY/GPR171/WDHD1/GBP4/MB21D1/NLRP3/MCEMP1/POLR3G/NLRC3/KLRC2/CLEC5A/ARHGAP11A/GPR84/IFNG/ZBED2
TMEscoreB_CIR,DCN/SEPP1/ACTA2/SPARCL1/BEX3/MYLK/AKR1C1/TIMP2/MXRA7/C11orf96/CAV1/PDGFRA/FHL1/MGP/EID1/LOC101930400/DST/GREM1/FERMT2/TNC/CYBRD1/LTBP1/ACTG2/TMEM47/SERPINE2/ANTXR2/GNG11/TAGLN/GSTA4/PKIG/MAOA/PTRF/FAM3B/PBX1/WLS/SELM/SVIL/MYH11/AGT/SPON1/TGFB1I1/PDLIM3/PDK4/SYNPO2/MSRB3/PROS1/EDNRA/AKAP12/PSD3/TNS1/JAM3/PDZRN3/DDR2/HMGCS2/SGCE/MRVI1/WFDC1/FBLN1/FMO5/MAOB/AMOTL1/AKT3/CNRIP1/CPE/MAP1B/RBP1/GNAI1/FOXF2/SORBS2/ZCCHC24/ZNF704/ARMCX1/DIXDC1/SSTR1/THRB/C3orf70/PKIB/CNN1/SYTL5/DACT1/SYNPO/GAS1/DPYSL3/CCDC80/TSPYL5/DCHS1/SOBP/AOC3/NDN/FGF7P3/SMAD9/MCC/CLMP/MYL9/RBP4/PLN/SPOCK1/COL14A1/CRYAB/SRPX/EML1/RERG/PPP1R3C/LOC100506718/CH25H/HSPB8/PID1/TTC28/STON1/ABCG2/ZSCAN18/SCIN/C14orf132/TMEM55A/WASF3/PAPLN/COLEC12/ACKR1/TMEM150C/RAI2/TSPAN7/MRGPRF/ABCA8/CHIC1/NBEA/FAM13C/SETBP1/LDOC1/TMEM100/LOC101930349/PRICKLE2/TSPAN18/FABP4/ARHGEF26/ERICH5/MYOCD/BEX2/PPP1R14A/FGF13/RUNX1T1/MAGI2-AS3/LINC01279/REEP1/PLAC9/MYEF2/PRKD1/RGN/CLDN11/ANK2/ESRRG/SYNC/ZNF667-AS1/FGF7/SFRP1/HMCN1/TCEAL7/OGN/MAGI2/MIR100HG/FILIP1/LOC100507334/ANKRD6/PLEKHH2/ZNF542P/ARMCX4/NOV/DCLK1/ARHGAP28/C2orf40/TRHDE/EPHA7/SCRG1/ZNF677/ZFPM2/PEG3/SERP2/ZNF415/MAMDC2/RBM24/MEOX2
CD8_Rooney_et_al,CD8A/CD8B/GZMA/GZMB/PRF1
B_cells_Rooney_et_al,CD79B/BTLA/FCRL3/BANK1/CD79A/BLK/RALGPS2/FCRL1/HVCN1/BACH2
Treg_Rooney_et_al,FOXP3/C15orf53/IL5/CTLA4/IL32/GPR15/IL4
Macrophages_Rooney_et_al,FUCA1/MMP9/LGMN/HS3ST2/TM4SF19/CLEC5A/GPNMB/C11orf45/CD68/CYBB
Neutrophils_Rooney_et_al,KDM6B/HSD17B11/EVI2B/MNDA/MEGF9/SELL/NLRP12/PADI4/TRANK1/VNN3
NK_cells_Rooney_et_al,KLRF1/KLRC1
pDCs_Rooney_et_al,LILRA4/CLEC4C/PLD4/PHEX/IL3RA/PTCRA/IRF8/IRF7/GZMB/CXCR3
MHC_Class_I_Rooney_et_al,HLA-A/B2M/TAP1
Co_stimulation_APC_Rooney_et_al,ICOSLG/CD70/TNFSF14/CD40/TNFSF9/TNFSF4/TNFSF15/TNFSF18/TNFSF8/SLAMF1/CD58
Co_stimulation_T_cell_Rooney_et_al,ICOS/CD28/CD27/TNFSF14/CD40LG/TNFRSF9/TNFRSF4/TNFRSF25/TNFRSF18/TNFRSF8/SLAMF1/CD2/CD226
Co_inhibition_APC_Rooney_et_al,PDCD1LG2/CD274/C10orf54/LGALS9/PVRL3
Co_inhibition_T_cell_Rooney_et_al,LAG3/CTLA4/CD274/CD160/BTLA/C10orf54/LAIR1/HAVCR2/CD244/TIGIT
Type_I_IFN_Reponse_Rooney_et_al,MX1/TNFSF10/RSAD2/IFIT1/IFIT3/IFIT2/IRF7/DDX4/MX2/ISG20
Type_II_IFN_Reponse_Rooney_et_al,GPR146/SELP/AHR
Cytolytic_Activity_Rooney_et_al,GZMA/PRF1
MHC_Class_I,HLA-A/HLA-B/HLA-C/HLA-E/HLA-F/HLA-G/HLA-H/HLA-J/HLA-K/HLA-L/TAP1/TAP2/LMP2/LMP7
MHC_Class_II,HLA-DRA/HLA-DRB1/HLA-DRB2/HLA-DRB3/HLA-DRB4/HLA-DRB5/HLA-DRB6/HLA-DRB7/HLA-DRB8/HLA-DRB9/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DQB3/HLA-DPA1/HLA-DPA2/HLA-DPB1/HLA-DPB2
T_cell_inflamed_GEP_Ayers_et_al,CD3D/IDO1/CIITA/CD3E/CCL5/GZMK/CXCL10/STAT1/GZMB/IL2RG/NKG7/HLA-E/CXCR6/LAG3/TAGAP/CD2/HLA-DRA/CXCL13
IFNG_signature_Ayers_et_al,IDO1/CXCL10/CXCL9/HLA-DRA/STAT1/IFNG
MDSC_Wang_et_al,CCR2/CXCR4/CXCR2/ITGAM/ITGAX/ANPEP/CD14/FUT4/CD33/CD34/CD38/ENTPD1/PTPRC/CEACAM8/CD80/CSF1R/IL4R/CSF3/CSF2/CXCL8/CCL2/TNF/CXCL12/S100A8/S100A9/STAT1/STAT3/STAT5A/ARG1/NOS2/CD274/TLR3/TLR4/TGFB1/IL10/FOXP3/IDO1/PDCD1
GPAGs,ANG/CXCL12/C3/CX3CR1/CDC42/TGFBR2/CTNNB1/CCR2/CAV1/PTGS2/SRPK2/IL1B/CYR61/KLF4/CASP8/SCG2/EGR3/JUN/TNFSF12/NR4A1/KRIT1/CYSLTR1/FGF10/HHEX/ROCK1/GPX1/EMCN/S1PR1/ECSCR/PLCD3
