Signatures,Genes
Biosynthesis_of_Unsaturated_Fatty_Acids,ELOVL6/HSD17B12/HACD2/HACD1/HACD4/HACD3/TECR/PECR/SCD/SCD5/FADS2/ELOVL5/FADS1/ELOVL2/ACOX3/ACOX1/HADHA/ACAA1/ACOT4/ACOT2/ACOT1/ACOT7/BAAT
Purine_Metabolism,NUDT9/ADPRM/NUDT5/PGM1/PGM2/PRPS1L1/PRPS2/PRPS1/PPAT/GART/PFAS/PAICS/ADSL/ATIC/APRT/NT5C2/NT5C1A/NT5C1B/NT5C/NT5M/NT5C3A/NT5C3B/NT5C1B-RDH14/NT5E/PNP/HPRT1/IMPDH1/IMPDH2/NME6/NME7/NME2/NME4/NME1/NME3/NME1-NME2/AK9/ENTPD3/ENTPD8/ENTPD1/CANT1/ENTPD4/ENTPD5/ENTPD6/NUDT16/ITPA/XDH/NUDT2/GMPS/GMPR/GMPR2/GDA/GUK1/PKM/PKLR/RRM1/RRM2B/RRM2/DGUOK/POLR1A/POLR1B/ZNRD1/TWISTNB/POLR1E/POLR2A/POLR2B/POLR2C/POLR2D/POLR2E/POLR2F/POLR2G/POLR2H/POLR2I/POLR2L/POLR2J/POLR2J3/POLR2J2/POLR2K/POLR3A/POLR3B/POLR3C/POLR3D/POLR3E/RPC5/POLR1C/POLR3K/POLR1D/POLR3H/POLR3GL/POLR3G/POLR3F/POLA1/POLA2/PRIM1/PRIM2/POLD1/POLD2/POLD3/POLD4/POLE/POLE2/POLE3/POLE4/HDDC3/PRUNE1/ADCY1/ADCY2/ADCY3/ADCY4/ADCY5/ADCY6/ADCY7/ADCY8/ADCY9/ADCY10/GUCY1A2/GUCY1A3/GUCY1B3/GUCY2C/GUCY2D/GUCY2F/NPR1/NPR2/PDE1A/PDE1B/PDE1C/PDE2A/PDE3A/PDE3B/PDE5A/PDE6A/PDE6B/PDE6C/PDE6D/PDE6G/PDE6H/PDE9A/PDE10A/PDE11A/ADSSL1/ADSS/AMPD2/AMPD3/AMPD1/ADK/DCK/ADA/CECR1/AK7/AK4/AK5/AK2/AK1/adenylate/AK8/AK6/AK3/ENTPD2/NTPCR/PNPT1/PDE4A/PDE4B/PDE4C/PDE4D/PDE7A/PDE7B/PDE8B/PDE8A/FHIT/ENPP4/PAPSS2/PAPSS1/ENPP1/ENPP3/URAD/ALLC
Pyrimidine_Metabolism,CAD/DHODH/UMPS/CMPK1/CMPK2/NME6/NME7/NME2/NME4/NME1/NME3/NME1-NME2/AK9/PNPT1/ENTPD3/ENTPD8/ENTPD1/CANT1/ENTPD4/ENTPD5/ENTPD6/CTPS1/CTPS2/POLR1A/POLR1B/ZNRD1/TWISTNB/POLR1E/POLR2A/POLR2B/POLR2C/POLR2D/POLR2E/POLR2F/POLR2G/POLR2H/POLR2I/POLR2L/POLR2J/POLR2J3/POLR2J2/POLR2K/POLR3A/POLR3B/POLR3C/POLR3D/POLR3E/RPC5/POLR1C/POLR3K/POLR1D/POLR3H/POLR3GL/POLR3G/POLR3F/POLA1/POLA2/PRIM1/PRIM2/POLD1/POLD2/POLD3/POLD4/POLE/POLE2/POLE3/POLE4/UCK1/UCK2/UCKL1/NT5C2/NT5C1A/NT5C1B/NT5C/NT5M/NT5C3A/NT5C3B/NT5C1B-RDH14/NT5E/UPP2/UPP1/UPRT/DPYD/DPYS/UPB1/ENPP1/ENPP3/TXNRD1/TXNRD2/TXNRD3/RRM1/RRM2B/RRM2/DCTPP1/DUT/TYMS/CDA/TYMP/PNP/DCK/DCTD/TK2/TK1/DTYMK/NUDT2
Alanine__Aspartate_and_Glutamate_Metabolism,GOT1/GOT2/IL4I1/DDO/ASNS/NIT2/GPT2/GPT/AGXT/AGXT2/ASS1/ASL/ADSSL1/ADSS/ADSL/NAT8L/RIMKLB/RIMKLA/FOLH1/ASPA/GAD1/GAD2/ABAT/ALDH5A1/GLUD2/GLUD1/ALDH4A1/GLUL/CAD/GLS2/GLS/CPS1/GFPT2/GFPT1/PPAT
Glycine__Serine_and_Threonine_Metabolism,SHMT1/SHMT2/AGXT/GRHPR/GLYCTK/PGAM1/PGAM2/PGAM4/BPGM/PHGDH/PSAT1/PSPH/GCAT/ALAS1/ALAS2/MAOB/MAOA/AOC3/AOC2/GLDC/AMT/DLD/GCSH/DAO/AGXT2/GATM/GAMT/CHDH/ALDH7A1/BHMT/DMGDH/PIPOX/SARDH/GNMT/CBS/CBSL/CTH/SDS/SDSL/SRR
Cysteine_and_Methionine_Metabolism,CTH/CBS/CBSL/BHMT/BHMT2/MTR/MAT2B/MAT1A/MAT2A/AMD1/SRM/SMS/MTAP/MRI1/APIP/ENOPH1/ADI1/TAT/IL4I1/DNMT1/DNMT3A/DNMT3B/AHCYL2/AHCYL1/AHCY/BCAT2/BCAT1/AGXT2/GCLC/GCLM/GSS/CDO1/GOT1/GOT2/MPST/TST/LDHAL6A/LDHAL6B/LDHA/LDHB/LDHC/MDH1/MDH2/SDS/SDSL
Valine__Leucine_and_Isoleucine_Degradation,BCAT2/BCAT1/IL4I1/BCKDHA/BCKDHB/DBT/DLD/ACADS/ACADM/IVD/ACADSB/ACAD8/HADHA/EHHADH/ECHS1/HADH/HSD17B10/ACAA1/ACAA2/HADHB/PCCA/PCCB/MCEE/MUT/HIBCH/HIBADH/ALDH6A1/ALDH2/ALDH3A2/ALDH1B1/ALDH7A1/ALDH9A1/AOX1/ACSF3/ABAT/AGXT2/MCCC1/MCCC2/AUH/HMGCL/HMGCLL1/OXCT1/OXCT2/AACS/ACAT2/ACAT1/HMGCS1/HMGCS2
Valine__Leucine_and_Isoleucine_Biosynthesis,SDS/SDSL/BCAT2/BCAT1
Lysine_Degradation,AASS/ALDH7A1/AADAT/OGDHL/OGDH/DLST/GCDH/HADHA/EHHADH/ECHS1/HADH/ACAT2/ACAT1/HYKK/PHYKPL/PIPOX/ASH1L/DOT1L/EHMT2/EHMT1/KMT2A/KMT2D/KMT2C/KMT2B/KMT2E/NSD1/WHSC1/WHSC1L1/SETD1B/SETD1A/SETD2/SETD3/SETD7/KMT5A/SETDB1/SETDB2/SETMAR/SUV39H1/SUV39H2/KMT5C/KMT5B/EZH1/EZH2/PRDM2/PRDM6/PRDM9/PRDM7/CAMKMT/TMLHE/ALDH2/ALDH3A2/ALDH1B1/ALDH9A1/BBOX1/PLOD1/PLOD2/PLOD3/COLGALT1/COLGALT2
Arginine_Biosynthesis,OTC/ASS1/ASL/ARG2/ARG1/NOS1/NOS2/NOS3/GLS2/GLS/GLUL/GLUD2/GLUD1/CPS1/GOT1/GOT2/GPT2/GPT/NAGS/ACY1/ABHD14A-ACY1
Arginine_and_Proline_Metabolism,GAMT/GATM/CKM/CKMT1A/CKMT2/CKB/CKMT1B/AZIN2/AGMAT/ODC1/SRM/SMS/AMD1/AOC1/SMOX/ALDH2/ALDH3A2/ALDH1B1/ALDH7A1/ALDH9A1/CNDP1/CNDP2/CARNS1/SAT2/SAT1/MAOB/MAOA/NOS1/NOS2/NOS3/ARG2/ARG1/OAT/PYCRL/PYCR2/PYCR1/PRODH/ALDH4A1/ALDH18A1/LAP3/P4HA2/P4HA3/P4HA1/PRODH2/GOT1/GOT2/HOGA1/DAO/L3HYPDH
Histidine_Metabolism,HAL/UROC1/AMDHD1/FTCD/HDC/DDC/AOC1/ALDH2/ALDH3A2/ALDH1B1/ALDH7A1/ALDH9A1/ASPA/HNMT/MAOB/MAOA/ALDH3B1/ALDH3B2/ALDH1A3/ALDH3A1/CARNS1/CARNMT1/CNDP2/CNDP1
Tyrosine_Metabolism,GOT1/GOT2/TAT/IL4I1/HPD/HGD/GSTZ1/FAH/TYR/TH/DCT/TYRP1/DDC/DBH/PNMT/COMT/MAOB/MAOA/AOC3/AOC2/ALDH3B1/ALDH3B2/ALDH1A3/ALDH3A1/ADH1A/ADH1B/ADH1C/ADH7/ADH4/ADH5/ADH6/TPO/AOX1/FAHD1/MIF
Phenylalanine_Metabolism,PAH/DDC/AOC3/AOC2/MAOB/MAOA/ALDH3B1/ALDH3B2/ALDH1A3/ALDH3A1/GLYAT/GOT1/GOT2/TAT/IL4I1/HPD/MIF
Tryptophan_Metabolism,IDO1/TDO2/IDO2/AFMID/KMO/KYNU/HAAO/ACMSD/OGDHL/OGDH/GCDH/HADHA/EHHADH/ECHS1/HADH/ACAT2/ACAT1/KYAT3/KYAT1/AADAT/TPH2/TPH1/DDC/MAOB/MAOA/ALDH2/ALDH3A2/ALDH1B1/ALDH7A1/ALDH9A1/AOX1/ASMT/AANAT/CYP1A1/CYP1A2/CYP1B1/INMT/IL4I1/AOC1/CAT
Phenylalanine__Tyrosine_and_Tryptophan_Biosynthesis,GOT1/GOT2/TAT/IL4I1/PAH
Beta_Alanine_Metabolism,GADL1/GAD1/GAD2/CNDP1/CARNS1/CNDP2/ABAT/SRM/SMS/SMOX/AOC3/AOC2/ALDH2/ALDH3A2/ALDH1B1/ALDH7A1/ALDH9A1/ALDH3B1/ALDH3B2/ALDH1A3/ALDH3A1/DPYD/DPYS/UPB1/HIBCH/HADHA/EHHADH/ECHS1/ACADM/MLYCD/ALDH6A1
Taurine_and_Hypotaurine_Metabolism,CDO1/GAD1/GAD2/CSAD/GADL1/ADO/GGT7/GGT6/GGT1/GGT5/BAAT
Selenocompound_Metabolism,MTR/CTH/SCLY/KYAT3/KYAT1/TXNRD1/TXNRD2/TXNRD3/INMT/PAPSS2/PAPSS1/SEPHS2/SEPHS1/PSTK/SEPSECS/MARS/MARS2
D_Glutamine_and_D_Glutamate_Metabolism,GLS2/GLUD2/GLUD1
Glutathione_Metabolism,GGT7/GGT6/GGT1/GGT5/GGCT/OPLAH/GCLC/GCLM/GSS/LAP3/ANPEP/GSTA5/GSTA2/GSTA4/GSTO2/GSTM4/GSTT2/GSTT1/GSTM3/MGST1/MGST3/GSTP1/GSTM1/GSTM5/MGST2/GSTA1/GSTM2/GSTA3/GSTO1/GSTT2B/GSTK1/HPGDS/NAT8/NAT8B/GSR/IDH1/IDH2/PGD/G6PD/TXNDC12/GPX6/GPX7/GPX2/GPX3/GPX1/GPX5/GPX8/GPX4/ODC1/SRM/SMS/RRM1/RRM2B/RRM2
N_Glycan_Biosynthesis,DOLK/DPAGT1/ALG5/ALG13/ALG14/DPM1/DPM2/DPM3/ALG1/ALG2/ALG11/ALG3/ALG9/ALG12/ALG6/ALG8/ALG10/ALG10B/STT3A/STT3B/RPN1/RPN2/DAD1/TUSC3/DDOST/DOLPP1/MOGS/GANAB/MAN1B1/MAN1A2/MAN1C1/MAN1A1/MGAT1/MAN2A1/MAN2A2/MGAT2/FUT8/B4GALT1/B4GALT2/B4GALT3/ST6GAL1/ST6GAL2/MGAT3/MGAT4A/MGAT4B/MGAT4D/MGAT5/MGAT5B/MGAT4C
Mucin_Type_O_Glycan_Biosynthesis,GALNT5/GALNTL6/WBSCR17/GALNT11/GALNT12/GALNT13/GALNT14/GALNT16/GALNT15/GALNT18/GALNTL5/GALNT10/GALNT2/GALNT3/GALNT1/GALNT6/GALNT4/GALNT9/GALNT7/GALNT8/POC1B-GALNT4/C1GALT1/C1GALT1C1/GCNT1/GCNT3/GCNT4/ST3GAL1/ST3GAL2/ST6GALNAC1/B3GNT6/B4GALT5
Other_Types_of_O_Glycan_Biosynthesis,POMT1/POMT2/POMGNT1/B4GALT1/B4GALT2/B4GALT3/ST3GAL3/FUT9/FUT4/FUT7/MGAT5B/B3GALT4/B3GAT1/B3GAT2/CHST10/OGT/EOGT/POFUT1/POFUT2/MFNG/LFNG/RFNG/ST6GAL1/ST6GAL2/B3GLCT/POGLUT1/GXYLT1/GXYLT2/COLGALT1/COLGALT2/PLOD3
Glycosaminoglycan_Biosynthesis,XYLT2/XYLT1/B4GALT7/B3GALT6/B3GAT3/CSGALNACT1/CSGALNACT2/CHSY3/CHSY1/CHPF/CHPF2/DSE/CHST11/CHST12/CHST13/CHST3/CHST7/CHST15/UST/CHST14/EXTL2/EXTL3/EXTL1/EXT1/EXT2/NDST1/NDST2/NDST3/NDST4/GLCE/HS2ST1/HS6ST1/HS6ST2/HS6ST3/HS3ST1/HS3ST2/HS3ST3B1/HS3ST3A1/HS3ST5/B4GALT1/FUT8/B4GALT2/B4GALT3/B3GNT2/B4GAT1/CHST6/B4GALT4/B3GNT7/CHST1/ST3GAL3/CHST2/CHST4/ST3GAL1/ST3GAL2
Glycosaminoglycan_Degradation,HYAL2/HYAL1/SPAM1/HYAL4/HYAL3/GUSB/IDS/IDUA/ARSB/HPSE/HPSE2/SGSH/HGSNAT/NAGLU/GALNS/GLB1/GNS/HEXA/HEXB
Glycosphosphatidylinositol,PIGA/PIGH/PIGC/PIGQ/PIGP/PIGY/DPM2/PIGL/PIGW/GPLD1/PIGM/PIGX/PIGV/PIGN/PIGB/PIGF/PIGO/GPAA1/PIGK/PIGS/PIGT/PIGU/PGAP1/PIGZ/PIGG
Glycosphingolipid_Biosynthesis,B3GALT1/B3GNT5/B3GALT2/B3GALT5/FUT1/FUT2/FUT3/ST3GAL3/ST3GAL4/ABO/B4GALT1/B4GALT2/B4GALT3/B4GALT4/FUT9/FUT4/FUT5/FUT6/FUT7/ST3GAL6/ST8SIA1/B3GNT2/B4GAT1/B3GNT3/B3GNT4/GCNT2/A3GALT2/B3GALNT1/GBGT1/A4GALT/GLA/HEXA/HEXB/NAGA/ST3GAL1/ST3GAL2/B4GALNT1/B3GALT4/ST8SIA5/ST3GAL5/SLC33A1/ST6GALNAC3/ST6GALNAC4/ST6GALNAC5/ST6GALNAC6/GLB1
Other_Glycan_Degradation,NEU1/NEU3/NEU4/NEU2/GLB1/HEXA/HEXB/HEXDC/MAN2C1/MAN2B1/MAN2B2/MANBA/ENGASE/FUCA1/FUCA2/AGA/GBA/GBA2
Thiamine_Metabolism,NFS1/NTPCR/TPK1/THTPA
Riboflavin_Metabolism,RFK/FLAD1/BLVRB/TYR
Vitamin_B6_Metabolism,PNPO/PDXK/PDXP/PHOSPHO2/AOX1/PSAT1
Pantothenate_and_CoA_Biosynthesis,PANK4/PANK1/PANK3/PANK2/PPCS/PPCDC/ENPP1/ENPP3/COASY/AASDHPPT/VNN1/VNN2/BCAT2/BCAT1/DPYD/DPYS/UPB1/GADL1
Biotin_Metabolism,OXSM/HLCS/BTD
Lipoic_Acid_Metabolism,LIAS/LIPT2/LIPT1
Porphyrin_and_Chlorophyll_Metabolism,ALAS2/ALAS1/EARS2/EPRS/ALAD/HMBS/UROS/UROD/CPOX/PPOX/FECH/COX10/COX15/MMAB/HMOX1/HMOX2/BLVRA/BLVRB/UGT2A1/UGT2A3/UGT2B17/UGT2B11/UGT2B28/UGT1A6/UGT1A4/UGT1A1/UGT1A3/UGT2B10/UGT1A9/UGT2B7/UGT1A10/UGT1A8/UGT1A5/UGT2B15/UGT1A7/UGT2B4/UGT2A2/GUSB/HCCS/CP/HEPH/FXN
Ubiquinone_and_other_Terpenoid_Quinone_Biosynthesis,TAT/COQ2/COQ3/COQ6/COQ5/COQ7/NQO1/GGCX/VKORC1/VKORC1L1/HPD
Terpenoid_Backbone_Biosynthesis,ACAT2/ACAT1/HMGCS1/HMGCS2/HMGCR/MVK/PMVK/MVD/IDI1/IDI2/FDPS/GGPS1/PDSS1/PDSS2/DHDDS/NUS1/FNTA/FNTB/RCE1/ZMPSTE24/ICMT/PCYOX1
Caffiene_Metabolism,CYP1A2/NAT2/NAT1/CYP2A6/XDH
Neomycin__Kanamysin_and_Gentamicin_Biosynthesis,HK3/HK1/HK2/HKDC1/GCK
Metabolism_of_Xenobiotics_by_Cytochrome_P450,CYP1A1/CYP2C9/CYP3A4/CYP1B1/GSTA5/GSTA2/GSTA4/GSTO2/GSTM4/GSTT2/GSTT1/GSTM3/MGST1/MGST3/GSTP1/GSTM1/GSTM5/MGST2/GSTA1/GSTM2/GSTA3/GSTO1/GSTT2B/GSTK1/HPGDS/EPHX1/CYP2B6/SULT2A1/CYP1A2/CYP2A6/CYP2E1/CYP2F1/CYP2S1/AKR1C1/DHDH/CYP2A13/CYP2D6/HSD11B1/CBR1/CBR3/UGT2A1/UGT2A3/UGT2B17/UGT2B11/UGT2B28/UGT1A6/UGT1A4/UGT1A1/UGT1A3/UGT2B10/UGT1A9/UGT2B7/UGT1A10/UGT1A8/UGT1A5/UGT2B15/UGT1A7/UGT2B4/UGT2A2/CYP3A5/AKR7A2/AKR7A3/ALDH3B1/ALDH3B2/ALDH1A3/ALDH3A1/ADH1A/ADH1B/ADH1C/ADH7/ADH4/ADH5/ADH6
Drug_Metabolism_by_Cytochrome_P450,CYP2C9/CYP2D6/CYP3A4/FMO1/FMO2/FMO5/FMO3/FMO4/CYP2C19/CYP2B6/CYP3A5/GSTA5/GSTA2/GSTA4/GSTO2/GSTM4/GSTT2/GSTT1/GSTM3/MGST1/MGST3/GSTP1/GSTM1/GSTM5/MGST2/GSTA1/GSTM2/GSTA3/GSTO1/GSTT2B/GSTK1/HPGDS/ADH1A/ADH1B/ADH1C/ADH7/ADH4/ADH5/ADH6/ALDH3B1/ALDH3B2/ALDH1A3/ALDH3A1/MAOB/MAOA/AOX1/UGT2A1/UGT2A3/UGT2B17/UGT2B11/UGT2B28/UGT1A6/UGT1A4/UGT1A1/UGT1A3/UGT2B10/UGT1A9/UGT2B7/UGT1A10/UGT1A8/UGT1A5/UGT2B15/UGT1A7/UGT2B4/UGT2A2/CYP1A2/CYP2E1/CYP2C8/CYP2A6
Drug_Metabolism_by_other_enzymes,HPRT1/IMPDH1/IMPDH2/GMPS/TPMT/XDH/ITPA/CES1/CES2/UGT2A1/UGT2A3/UGT2B17/UGT2B11/UGT2B28/UGT1A6/UGT1A4/UGT1A1/UGT1A3/UGT2B10/UGT1A9/UGT2B7/UGT1A10/UGT1A8/UGT1A5/UGT2B15/UGT1A7/UGT2B4/UGT2A2/GUSB/CYP3A4/CDA/TYMP/DPYD/DPYS/UPB1/CYP2A6/UPP2/UPP1/UCK1/UCK2/UCKL1/TK2/TK1/UMPS/NAT2/NAT1
Nature_metabolism_Hypoxia,ACOT7/SLC2A1/ALDOA/CDKN3/ENO1/LDHA/MIF/MRPS17/NDRG1/P4HA1/PGAM1/TPI1/TUBB6/VEGFA/ADM
Winter_hypoxia_signature,VEGF/GLUT1/PDK-1/EN01/HK2/CA9/AK3/CCNG2/PFKB3
Hu_hypoxia_signature,FABP5/UCHL1/GAL/PLODDDIT4/VEGF/ADM/ANGPTL4/NDRG1/NP/SLC16A3/C14ORF58/RRAGD
Molecular_Cancer_m6A,METTL3/METTL14/RBM15/RBM15B/WTAP/KIAA1429/CBLL1/ZC3H13/ALKBH5/FTO/YTHDC1/YTHDC2/YTHDF1/YTHDF2/YTHDF3/IGF2BP1/HNRNPA2B1/HNRNPC/FMR1/LRPPRC/ELAVL1
MT_exosome,YWHAG/YWHAQ/CLTC/NCKAP1/CFL1/ACTB/CCT4/RDX/GNA13/CTNNB1
SR_exosome,HSP70/HSP90/CD9/CD63/CD81/CD82
Positive_regulation_of_exosomal_secretion,ATP13A2/CHMP2A/HGS/MYO5B/PDCD6IP/RAB7/SDC1/SDC4/SDCBP/SMPD3/SNF8/STAM/TSG101/VPS4A
Negative_regulation_of_exosomal_secretion,VPS4B/PRKN/RAB7
Exosomal_secretion,STEAP3/TSG101/RAB11A/RAB27A/COPS5
Exosome_assembly,CD34/PDCD6IP/SDC1/SDC4/SDCBP/STAM/TSG101
Extracellular_vesicle_biogenesis,ARRDC1/ARRDC4/ATP13A2/CD34/CHMP2A/COPS5/HGS/MYO5B/PDCD6IP/PRKN/RAB7/RAB11A/RAB27A/SDC1/SDC4/SDCBP/SMPD3/SNF8/STAM/STEAP3/TSG101/VPS4B
MC_Review_Exosome1,TSG101/CD9/CD81/CD63/FLOT1/ITGB1/ITGA1/HSP70/AIP1/ALIX/PDCD6IP
MC_Review_Exosome2,RAB27A/RAB27B/PIKFYVE/HRS/SYT7/CTTN/STAT3/PKM2/UNC13D/miR-155/EGFR/RAS/EIF3C/LKB1/STK11
CMLS_Review_Exosome,HRS/STAM1/TSG101/CHMP4C/ALIX/VAT1/VPS4/CD9/CD82/CD63/LMP1/TSPAN8/VAMP7/YKT6/PKM2/SNAP-23/RALA/RALB/RAB2B/RAB5A/RAB9A/RAB7/RAB11/RAB27A/RAB27B/RAB35/DGKA/PLD2/ARF6/ATG12/ATG7/PIKFYVE/BST2/ATP6V0A4
Ferroptosis,ACSL4/AKR1C1-3/ALOXs/ATP5G3/CARS/CBS/CD44v/CHAC1/CISD1/CS/DPP4/FANCD2/GCLC/GCLM/GLS2/GPX4/GSS/HMGCR/HSPB1/5/KOD/LPCAT3/MT1G/NCOA4/NFE2L2/PTGS2/RPL8/SAT1/SLC7A11/SQS/TFRC/TP53/TTC35/EMC2/MESH1
EV_Cell_2020,HSP90AB1/HSP90AA1/CD9/ALIX/FLOT1/FLOT2/TSG101/HSPA8/CD81/CD63/HBB/JCHAIN/A2M/B2M/FN1/RAP1B/LGALS3BP/GSN/MSN/FLNA/ACTB/STOM/PRDX2
CD4_c0_Tcm,ANXA1/LMNA/VIM/KLRB1/IL7R/ZFP36/ZFP36L2/GPR183/CXCR4/RGCC/FTH1/MYADM/FOS/AHNAK/PTGER4/JUND/TNFAIP3/KLF2/GPR171/S100A10/MCL1/LYAR/S100A11/TTC19/CD69/ADGRE5/FKBP11/PIK3R1/CD55/TSC22D3/FAM177A1/AREG/TOB1/ARL4C/ANXA2/FOSB/KLF6/NR4A2/TIMP1/TGFB1/PTGER2/AQP3/CRIP1/TAGLN2/CRYBG1/CDKN1A/EZR/SLC2A3/PLP2/GLIPR1
CD4_c1_Treg,FOXP3/IL2RA/TNFRSF4/TIGIT/CARD16/TNFRSF18/BATF/CTLA4/RTKN2/IL32/PMAIP1/SAT1/CTSC/TNFRSF9/TBC1D4/MAGEH1/IKZF2/TNFRSF1B/LAYN/CD74/HTATIP2/CD27/GBP5/GK/CD7/IL2RB/STAM/LINC00152/DNPH1/IL1R2/DUSP4/GBP2/HLA-DRB1/LAIR2/RGS1/PIM2/MIR4435-1HG/GLRX/HPGD/HLA-A/ICA1/ICOS/UGP2/ENTPD1/GADD45A/UCP2/NAMPT/IFI6/CCR8/ARID5B
CD4_c10_Tn_LEF1_ANKRD55,ANKRD55/LEF1/TCF7/NOSIP/SELL/IL6ST/LDLRAP1/RIPOR2/FYB1/TRABD2A/ATM/C1orf162/TXNIP/MCUB/TXK/CCR7/SCML4/ARHGAP45/RASGRP2/MAL/SERINC5/INPP4B/PLAC8/TSHZ2/FHIT/ACTN1/KLF2/MAML2/FLT3LG/TGFBR2/GIMAP7/LDHB/AIF1/SELENOH/TRAF3IP3/ABLIM1/ADD3/EIF3E/MYC/ATP5MC2/OXNAD1/DGKA/TMC8/CAMK4/FCMR/TC2N/LPAR6/AES/FOXP1/TESPA1
CD4_c11_Tisg,ISG15/IFI6/IFI44L/MX1/IFIT3/IFIT1/RSAD2/STAT1/MX2/OAS1/LY6E/XAF1/SAMD9L/OAS3/EIF2AK2/IFI44/HERC5/EPSTI1/ISG20/IRF7/OASL/IFIT2/GBP1/IFI27/PARP9/SAMD9/CMPK2/IFITM1/RNF213/UBE2L6/TRIM22/OAS2/PLSCR1/TNFSF10/IFI16/PARP14/SP110/IFI35/BST2/USP18/LGALS9/SP100/DDX60L/SLFN5/PPM1K/LAP3/C19orf66/GZMA/DRAP1/GBP4
CD4_c2_Tn,NBEAL1/CCR7/GLTSCR2/TCF7/GNB2L1/SELL/C6orf48/TMEM66/EEF1B2/LEF1/TOMM7/EEF1G/EIF3E/GIMAP1/NOSIP/UBA52/FAM65B
CD4_c3_Tfh,CXCL13/NMB/PDCD1/FABP5/ITM2A/LAG3/CD200/TOX2/GNG4/TIGIT/NR3C1/SH2D1A/SMCO4/CHI3L2/TOX/ICA1/CAV1/PTPN13/PTPRCAP/SRGN/DUSP4/PPP1CC/PDE7B/CORO1B/AHI1/H2AFZ/TNFRSF4/C9orf16/LAT/BTLA/CPM/GK/GAPDH/TNFRSF18/NME1-NME2/GPX1/CXCR5/PGAM1/PKM/RNF19A/ZBED2/PASK/THADA/LIMS1/IL6ST/RAB27A/FKBP5/MAF/ATP5G3/PFN1
CD4_c4_Tstr,HSPA6/HSPA1A/HSPA1B/DNAJB1/HSPH1/HSP90AA1/HSPE1/HSPB1/BAG3/HSPD1/DNAJA1/HSP90AB1/JUN/NR4A1/FKBP4/HSPA8/ZFAND2A/SERPINH1/FOSB/FOS/PPP1R15A/CACYBP/DUSP1/EGR1/GADD45B/UBB/UBC/DNAJB4/RGS2/CCL4/IFNG/RHOB/MRPL18/DNAJA4/BTG2/CHORDC1/ATF3/AHSA1/TNF/NEU1/IER2/DNAJB6/DUSP2/IER5/CD69/SERTAD1/ANXA1/KLF6/NR4A2/TCP1
CD4_c5_CTL,GZMA/CCL5/CCL4/GZMH/NKG7/HOPX/GZMB/LGALS1/ALOX5AP/GZMK/CXCR6/CST7/HLA-DRB1/HLA-DRB5/GLUL/RBPJ/HLA-DPA1/XCL1/ATP5F1E/HLA-DPB1/GNLY/APOBEC3G/CD99/S100A4/HLA-DRA/SH3BGRL3/ANXA2/CLU/S100A6/PRF1/C12orf75/LCP1/ITGB2/CXCR3/ITGB1/CYBA/AHNAK/COTL1/CLIC1/CD63/CD52/ID2/S100A10/CTSW/S100A11/EMB/HMGB2/PARP8/ATP5MG/ANXA1
CD4_c6_Tn_FHIT,FHIT/ADTRP/GLTSCR2/EIF3E/NOSIP/SELL/C6orf48/DONSON/TCF7/LEF1/CCR7/AIF1/GNB2L1/PLAC8/EEF1B2/TRABD2A/MAL/TSHZ2/TXK/TOMM7/LDLRAP1/ACTN1/VAMP2/RASGRP2/LDHB/C1orf162/ATM/FAM65B/TMIGD2/AES/ATP5O/KLF3/UQCRB/KLF2/UBA52/MYC/FOXP1/ABLIM1/APBA2/SH3YL1/NPM1
CD4_c7_Tn_TCEA3,TCEA3/NOSIP/TCF7/LEF1/MAL/C1orf162/LDLRAP1/FLT3LG/EIF3E/RASGRP2/AES/SELL/AIF1/PLAC8/DONSON/TRABD2A/GLTSCR2/LDHB/ADD3/SMDT1/C6orf48/MYC/RIPOR2/TRAF3IP3/TXK/FHIT/BIN2/CD48/GPSM3/ALKBH7/ATM/FBL/SH3BP5/CDC25B/EIF2S3/ACTN1/PSIP1/CCND3/BIN1/EIF3L/UXT/VAMP2/STMN3/CCR7/SELENOH/SH3YL1/SPINT2/EEF1B2/KLF2/NUCB2
CD4_c8_Tf17,GNLY/SLC1A4/CTSH/CXCR6/LGALS3/PLIN2/JAML/KLRB1/IL17F/IL17A/HSP90AA1/BHLHE40/CCL20/HSPA8/ALOX5AP/SPOCK2/S100A4/RBPJ/PKIG/PHLDA1/GAPDH/RORA/CCR6/MSC/FURIN/LPXN/CCL4/PDCD4/CLDND1/FKBP4/LGALS1/AHR/TNFRSF18/TANK/CACYBP/ZEB2/KIAA0319L/CAPG/TIFA/NCDN/SOX4/ANXA5/ADAM19/DNAJA1/H2AFZ/ATP2B4/HSP90AB1/LMO4/GNA15/SQSTM1
CD4_c9_Tn_TCF7_SLC40A1,SLC40A1/TCF7/NOSIP/LEF1/MAL/SELL/C1orf162/LDLRAP1/FLT3LG/KLF2/EEF1G/TRABD2A/SORL1/RASGRP2/AES/ATM/INPP4B/CD48/CCR7/LDHB/PLAC8/TMC8/SCML4/TMEM66/FAM65B/ADD3/ABLIM1/RIPOR2/ITGA6/GLTSCR2/TMEM123/ACTN1/ARHGAP15/CISH/EEF1B2/ARHGAP45/DGKA/STMN3/RASA3/IFITM1/SUN2/FHIT/GIMAP5/TXK/CCND3/S1PR1/GPSM3/TC2N/TRAF3IP3/TESPA1
