disease_ontology_term_id	count
PATO:0000461	37489811
MONDO:0100096	4562641
MONDO:0024885	1553549
MONDO:0018177	1477830
MONDO:0005061	1422977
MONDO:0001627	968106
MONDO:0005021	934441
MONDO:0007915	777258
MONDO:0005011	577191
MONDO:0005097	303260
MONDO:0002771	268932
MONDO:0004975	263883
MONDO:0008433	244903
MONDO:0005233	241592
MONDO:0005300	218574
MONDO:0016587	203291
MONDO:0005002	178451
MONDO:0007254	175414
MONDO:0005068	169854
MONDO:0002492	150604
MONDO:0015759	133405
MONDO:0018906	122702
MONDO:0010811	120984
MONDO:0001056	116329
MONDO:0100320	97224
MONDO:0005087	94987
MONDO:0004298	82152
MONDO:0004966	79882
MONDO:0015925	68456
MONDO:0015517	64759
MONDO:0005565	57445
MONDO:0016691	34291
MONDO:0004849	33011
MONDO:0000709	32458
MONDO:0005249	31923
MONDO:0013662	30715
MONDO:0005812	29752
MONDO:0004514	29137
MONDO:0018874	27852
MONDO:0024660	27248
MONDO:0005418	22656
MONDO:0005147	22400
MONDO:0003050	21167
MONDO:0018071	21066
MONDO:0005005	20509
MONDO:0005148	19262
MONDO:0600025	17798
MONDO:0009061	17590
MONDO:0008608	16743
MONDO:0006156	14676
MONDO:0011705	12374
MONDO:0004970	11483
MONDO:0003573	10765
MONDO:0017853	10379
MONDO:0019622	8597
MONDO:0006249	8309
MONDO:0024661	7219
MONDO:0005575	6215
MONDO:0001708	4886
MONDO:0006058	4636
MONDO:0012883	3734
MONDO:0005129	3205
MONDO:0002120	2623
MONDO:0017885	2576
MONDO:0005115	2103
MONDO:0012419	1701
MONDO:0005335	1543
MONDO:0007472	1239
