cell_type	count
neuron	5187927
glutamatergic neuron	1889047
oligodendrocyte	1843917
CD4-positive, alpha-beta T cell	1510892
CD8-positive, alpha-beta T cell	1440552
classical monocyte	1349543
macrophage	1333574
fibroblast	1298708
L2/3-6 intratelencephalic projecting glutamatergic cortical neuron	1229658
native cell	1224679
natural killer cell	1176704
B cell	1065112
T cell	972291
astrocyte	892996
naive thymus-derived CD4-positive, alpha-beta T cell	877638
monocyte	847343
malignant cell	797557
cardiac muscle cell	739411
alveolar macrophage	692246
endothelial cell	604731
central memory CD4-positive, alpha-beta T cell	550319
mural cell	545511
GABAergic neuron	527259
progenitor cell	483035
fallopian tube secretory epithelial cell	463461
type II pneumocyte	452428
epithelial cell	452099
CD14-positive monocyte	423896
oligodendrocyte precursor cell	423299
cortical cell of adrenal gland	410019
luminal epithelial cell of mammary gland	388279
erythrocyte	385968
Purkinje cell	370751
microglial cell	363182
fibroblast of mammary gland	356063
stromal cell	346653
fibroblast of cardiac tissue	337563
naive B cell	334489
CD16-positive, CD56-dim natural killer cell, human	325718
capillary endothelial cell	324805
plasma cell	322993
naive thymus-derived CD8-positive, alpha-beta T cell	312729
effector memory CD8-positive, alpha-beta T cell	300508
double-positive, alpha-beta thymocyte	296386
blood vessel endothelial cell	293869
pericyte	293283
retinal rod cell	276144
central nervous system macrophage	273311
enterocyte	268815
CD14-positive, CD16-negative classical monocyte	261782
basal cell	261568
mature alpha-beta T cell	260726
mesenchymal cell	259990
CD8-positive, alpha-beta memory T cell	252767
regular ventricular cardiac myocyte	250578
memory B cell	244076
regulatory T cell	238096
epithelial cell of proximal tubule	233176
non-classical monocyte	219221
respiratory basal cell	201579
myeloid cell	197491
double negative thymocyte	190788
vip GABAergic cortical interneuron	189656
inhibitory interneuron	184813
secretory cell	180198
vein endothelial cell	176008
dendritic cell	174673
CD4-positive helper T cell	169938
gamma-delta T cell	165408
pvalb GABAergic cortical interneuron	163758
mature T cell	156203
ciliated columnar cell of tracheobronchial tree	148299
kidney loop of Henle thick ascending limb epithelial cell	145610
amacrine cell	144952
epithelial cell of lower respiratory tract	142285
mast cell	141293
basal cell of prostate epithelium	135120
CD4-positive, alpha-beta memory T cell	134273
CD8-positive, alpha-beta cytotoxic T cell	125903
astrocyte of the cerebral cortex	124494
vascular associated smooth muscle cell	123853
endothelial cell of vascular tree	121776
smooth muscle cell	118623
neutrophil	116602
elicited macrophage	116551
lamp5 GABAergic cortical interneuron	116090
effector memory CD4-positive, alpha-beta T cell	116004
CD1c-positive myeloid dendritic cell	114899
club cell	114370
endothelial cell of lymphatic vessel	114175
granule cell	113617
myofibroblast cell	113443
granulosa cell	112918
glial cell	110233
nasal mucosa goblet cell	108192
sst GABAergic cortical interneuron	108028
effector CD8-positive, alpha-beta T cell	99220
foveolar cell of stomach	94899
conventional dendritic cell	93411
stem cell	92561
mature NK T cell	84700
mesodermal cell	83941
multi-ciliated epithelial cell	80031
Mueller cell	79350
neuron associated cell (sensu Vertebrata)	79325
endothelial cell of artery	77582
mucosal invariant T cell	77154
megakaryocyte	76631
epithelial cell of lung	76407
type I pneumocyte	75469
stellate neuron	75294
leukocyte	74855
goblet cell	74770
Sertoli cell	73268
retinal bipolar neuron	72958
thymocyte	72896
hepatoblast	72848
lymphocyte	71940
cerebral cortex GABAergic interneuron	71854
plasmacytoid dendritic cell	70894
intestinal epithelial cell	70542
CD14-low, CD16-positive monocyte	70039
tracheal goblet cell	69875
platelet	67363
mesenchymal stem cell	67006
fibroblast of lung	66570
neoplastic cell	66416
cardiac muscle myoblast	66335
hepatocyte	66264
myoepithelial cell of mammary gland	65962
neuronal brush cell	65674
erythroblast	64475
T follicular helper cell	64385
absorptive cell	63161
transit amplifying cell	62459
CD16-negative, CD56-bright natural killer cell, human	59896
IgA plasma cell	59581
stratified epithelial cell	56967
epithelial cell of esophagus	56720
ON-bipolar cell	56680
mesangial cell	55774
kidney collecting duct principal cell	55421
CD4-positive, alpha-beta cytotoxic T cell	54059
blood cell	53817
B-2 B cell	53076
plasmablast	52188
interstitial cell of ovary	49910
periportal region hepatocyte	49591
alpha-beta T cell	48664
forebrain radial glial cell	48079
regular atrial cardiac myocyte	47087
OFF-bipolar cell	46934
retinal ganglion cell	45828
mesothelial cell	45657
innate lymphoid cell	44780
ciliated cell	43656
stromal cell of ovary	43510
alveolar type 1 fibroblast cell	43510
enterocyte of colon	43157
transitional stage B cell	43153
cardiac endothelial cell	42334
enteric smooth muscle cell	41600
promonocyte	40676
