development_stage_ontology_term_id	count
HsapDv:0000144	3398485
unknown	2904597
HsapDv:0000052	2812757
HsapDv:0000123	2600670
HsapDv:0000136	2506425
HsapDv:0000240	1805304
HsapDv:0000054	1512987
HsapDv:0000241	1405682
HsapDv:0000087	1349506
HsapDv:0000095	1336357
HsapDv:0000049	1265500
HsapDv:0000053	1158261
HsapDv:0000239	1099323
HsapDv:0000204	874677
HsapDv:0000153	758688
HsapDv:0000050	715390
HsapDv:0000238	684472
HsapDv:0000242	670879
HsapDv:0000151	581927
HsapDv:0000154	565085
HsapDv:0000155	550265
HsapDv:0000140	503174
HsapDv:0000149	492177
HsapDv:0000164	491253
HsapDv:0000160	489740
HsapDv:0000163	481663
HsapDv:0000167	444455
HsapDv:0000158	443430
HsapDv:0000152	438576
HsapDv:0000146	437896
HsapDv:0000157	428734
HsapDv:0000159	419417
HsapDv:0000156	400242
HsapDv:0000161	386475
HsapDv:0000124	370367
HsapDv:0000051	364203
HsapDv:0000132	351450
HsapDv:0000162	349748
HsapDv:0000135	349358
HsapDv:0000048	341424
HsapDv:0000121	336415
HsapDv:0000172	330789
HsapDv:0000150	329657
HsapDv:0000166	327597
HsapDv:0000169	321285
HsapDv:0000125	314727
HsapDv:0000142	313775
HsapDv:0000127	311588
HsapDv:0000168	310975
HsapDv:0000147	304835
HsapDv:0000131	303526
HsapDv:0000141	301899
HsapDv:0000139	300469
HsapDv:0000129	281786
HsapDv:0000099	279641
HsapDv:0000046	269320
HsapDv:0000119	267165
HsapDv:0000145	255043
HsapDv:0000143	253595
HsapDv:0000165	248192
HsapDv:0000128	247525
HsapDv:0000027	242525
HsapDv:0000047	235622
HsapDv:0000208	230094
HsapDv:0000115	226117
HsapDv:0000101	222718
HsapDv:0000148	222681
HsapDv:0000237	218443
HsapDv:0000171	217248
HsapDv:0000130	217059
HsapDv:0000055	213432
HsapDv:0000206	213414
HsapDv:0000133	208568
HsapDv:0000170	197455
HsapDv:0000173	194625
HsapDv:0000059	194341
HsapDv:0000138	192255
HsapDv:0000086	190555
HsapDv:0000030	183746
HsapDv:0000209	182606
HsapDv:0000210	178396
HsapDv:0000117	175062
HsapDv:0000097	174630
HsapDv:0000120	170201
HsapDv:0000137	168174
HsapDv:0000122	165573
HsapDv:0000207	161011
HsapDv:0000098	159625
HsapDv:0000134	157861
HsapDv:0000082	156570
HsapDv:0000118	151968
HsapDv:0000126	146505
HsapDv:0000056	144401
HsapDv:0000212	143123
HsapDv:0000083	140714
HsapDv:0000057	116663
HsapDv:0000214	112123
HsapDv:0000026	109680
HsapDv:0000088	106044
HsapDv:0000089	106037
HsapDv:0000213	97319
HsapDv:0000211	96842
HsapDv:0000029	90181
HsapDv:0000100	89337
HsapDv:0000215	83962
HsapDv:0000109	77992
HsapDv:0000084	76610
HsapDv:0000093	76064
HsapDv:0000116	73545
HsapDv:0000062	69754
HsapDv:0000090	64079
HsapDv:0000102	61841
HsapDv:0000058	56242
HsapDv:0000114	55941
HsapDv:0000085	55074
HsapDv:0000091	54491
HsapDv:0000180	51878
HsapDv:0000106	49404
HsapDv:0000015	46836
HsapDv:0000246	46646
HsapDv:0000113	44538
HsapDv:0000081	44217
HsapDv:0000096	42470
HsapDv:0000020	41139
HsapDv:0000179	40313
HsapDv:0000103	38239
HsapDv:0000025	30832
HsapDv:0000243	29673
HsapDv:0000063	29616
HsapDv:0000002	27883
HsapDv:0000024	26597
HsapDv:0000199	23725
HsapDv:0000094	21964
HsapDv:0000108	21491
HsapDv:0000176	20642
HsapDv:0000092	20609
HsapDv:0000178	18237
HsapDv:0000068	17026
HsapDv:0000028	16810
HsapDv:0000183	16633
HsapDv:0000104	15512
HsapDv:0000218	14779
HsapDv:0000107	14722
HsapDv:0000110	13640
HsapDv:0000112	13478
HsapDv:0000060	10624
HsapDv:0000105	10110
HsapDv:0000023	8818
HsapDv:0000187	8581
HsapDv:0000217	5761
HsapDv:0000216	5142
HsapDv:0000080	4636
HsapDv:0000185	4432
HsapDv:0000198	3707
HsapDv:0000174	2975
HsapDv:0000021	2502
HsapDv:0000219	2332
HsapDv:0000184	1821
HsapDv:0000192	1570
HsapDv:0000223	976
HsapDv:0000221	930
HsapDv:0000111	881
HsapDv:0000220	867
HsapDv:0000222	552
