cell_type_ontology_term_id	count
CL:1000487	8702
CL:0000632	8477
CL:0000132	8394
CL:1001428	8302
CL:0002329	8145
CL:4023051	7874
CL:0000653	7814
CL:0002601	7746
CL:0002393	7720
CL:0000670	7712
CL:1000304	7654
CL:0000811	7624
CL:0009095	7577
CL:0002071	7544
CL:0002258	7302
CL:0002236	7295
CL:0000681	7212
CL:1000334	7040
CL:0002620	6992
CL:0002586	6608
CL:0002154	6528
CL:0001043	6340
CL:0002304	6327
CL:0002223	6160
CL:1000452	6107
CL:1001509	6065
CL:0001058	6046
CL:0011027	5913
CL:0005010	5875
CL:0009043	5787
CL:0000178	5666
CL:0002496	5663
CL:0002371	5615
CL:1001433	5568
CL:0008036	5526
CL:0002204	5484
CL:0000322	5440
CL:0002224	5276
CL:0000751	5207
CL:0011024	5147
CL:0000510	5082
CL:0000183	5078
CL:0000092	4933
CL:0005006	4920
CL:4006000	4894
CL:0000024	4890
CL:0000068	4820
CL:0011103	4744
CL:4023041	4722
CL:0005009	4698
CL:0002231	4587
CL:0008001	4543
CL:0005011	4358
CL:0002117	4345
CL:0001056	4331
CL:0000173	4317
CL:0000782	4285
CL:0002368	4269
CL:0000982	4242
CL:0000508	4239
CL:1001602	4236
CL:0019001	4216
CL:0000165	4114
CL:0000503	4079
CL:0000313	3976
CL:1000488	3968
CL:1000398	3957
CL:0000577	3945
CL:0000319	3943
CL:0002088	3934
CL:0000844	3929
CL:1000312	3927
CL:0000986	3917
CL:0000062	3842
CL:1000497	3836
CL:0009112	3663
CL:0000807	3576
CL:0000984	3562
CL:0000545	3538
CL:0002268	3532
CL:2000032	3456
CL:2000092	3396
CL:2000046	3214
CL:0009039	3156
CL:0011012	3141
CL:1000305	3106
CL:1000299	3027
CL:0000908	2986
CL:0002607	2969
CL:0002410	2949
CL:0000514	2938
CL:0000113	2872
CL:0000677	2844
CL:0002677	2817
CL:0000100	2756
CL:0000253	2602
CL:0009009	2518
CL:0000006	2502
CL:0017000	2475
CL:0002250	2374
CL:0001029	2370
CL:0000031	2355
CL:0000432	2307
CL:0000190	2285
CL:0001024	2238
CL:0007011	2237
CL:0002243	2221
CL:0001069	2218
CL:0002657	2216
CL:0019003	2158
CL:0002521	2152
CL:1000143	2149
CL:0000051	2105
CL:0002151	2079
CL:0008015	2056
CL:0000979	2048
CL:0000767	1987
CL:0000894	1970
CL:0009002	1884
CL:0000839	1878
CL:0002188	1866
CL:0009012	1863
CL:0000187	1844
CL:0000287	1782
CL:0000776	1745
CL:0000255	1739
CL:0000095	1728
CL:0009017	1723
CL:0000397	1715
CL:0002225	1677
CL:0002503	1630
CL:0000547	1627
CL:0000802	1620
CL:0011019	1595
CL:0019032	1568
CL:0009016	1565
CL:0002425	1538
CL:0002370	1524
CL:0000103	1499
CL:0002201	1425
CL:0002394	1415
CL:0001049	1410
CL:1001131	1397
CL:0002495	1391
CL:0002488	1390
CL:0019021	1385
CL:1000343	1377
CL:3000001	1372
CL:0000162	1283
CL:0002279	1245
CL:1001516	1233
CL:0002678	1212
CL:0002598	1201
CL:0009111	1197
CL:1000279	1197
CL:0002363	1190
CL:1000428	1187
CL:1000223	1161
CL:0000682	1142
CL:0000242	1140
CL:0000821	1110
CL:0011004	1101
CL:0000956	1084
CL:0000796	1063
CL:0000531	1030
CL:0002585	1017
CL:0000792	1010
CL:1000892	1008
CL:1000495	988
CL:0000189	972
CL:2000016	970
CL:0000553	966
CL:0002293	942
CL:0002075	916
CL:1001285	912
CL:1000597	857
CL:1001033	851
CL:0009113	831
CL:1000342	809
CL:0000453	784
CL:0001077	776
CL:0001066	773
CL:1000320	770
CL:0000696	761
CL:0005025	756
CL:1000447	754
CL:2000041	742
CL:0001080	739
CL:0007010	736
CL:0000023	723
CL:0002010	698
CL:0002328	693
CL:0002622	691
CL:1000450	651
CL:0009022	640
CL:0000015	621
CL:0001079	611
CL:0002028	611
CL:0000558	605
CL:0002262	592
CL:0011115	567
CL:0000099	560
CL:0000820	558
CL:0001074	555
CL:1001225	545
CL:0009041	524
CL:1000311	523
CL:0002320	498
CL:1000494	495
CL:0000388	468
CL:0000362	446
CL:0000771	432
CL:0000695	411
CL:0005021	410
CL:0002366	398
CL:0000442	398
CL:0000185	392
CL:0002149	388
CL:0000910	385
CL:0002375	384
CL:0000704	373
CL:0011101	366
CL:0000790	341
CL:0002254	339
CL:0002351	336
CL:0000135	335
CL:0000234	334
CL:0000569	317
CL:0002422	304
CL:1000448	301
CL:0009038	268
CL:1000458	266
CL:0002275	263
CL:1000275	255
CL:0000680	254
CL:0000842	242
CL:1001005	235
CL:2000021	233
CL:4023054	232
CL:1000326	230
CL:0002277	227
CL:0002189	212
CL:0000595	202
CL:0005019	201
CL:0009042	199
CL:0000834	189
CL:1000698	174
CL:0001057	171
CL:0001078	170
CL:0000922	147
CL:0000502	143
CL:0000731	135
CL:2000001	131
CL:0000075	129
CL:0002673	120
CL:0000823	114
CL:0000114	108
CL:1000436	104
CL:0001081	93
CL:0009006	90
CL:0009005	90
CL:1001589	88
CL:0002538	84
CL:0002278	83
CL:1000330	82
CL:0000055	82
CL:0000001	80
CL:0002092	72
CL:2000055	68
CL:0002377	66
CL:0000808	64
CL:0002207	61
CL:0000546	55
CL:1000278	54
CL:0002157	54
CL:0005022	51
CL:0002457	48
CL:0002280	44
CL:0000708	40
CL:0000937	39
CL:0002322	34
CL:0000841	34
CL:0002009	31
CL:1000331	30
CL:1000491	29
CL:1000353	19
CL:0000019	11
